t,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
06:45:00,7.97201850429,8.86317502546,9.86301959516,10.0349655116,8.88855138776,6.97549910992,8.96783246614,11.8971014449,12.0916324042,10.1787470964,7.90515793894,9.9997689573,9.20259567445,11.0250626628,10.8365195121,12.195979257,11.4662843597,13.0745104595,14.1499865463,9.24493794164,10.8774916942,8.25813814841,7.9954126198,10.0035991069,10.8308327198,5.92678392607,5.97147030471,6.79963083446,10.8487722106,10.9165144809,12.1512153114,7.92705374747,10.0767713517,9.19407954587,9.11062161358,12.8176462138,10.7615004078,10.9076232529,10.7982354713,8.00105964335,7.87804930842,10.7680624583,13.6641567551,9.99934977586,14.1890732114,10.5469950247,7.0582827361,6.92833316588,7.83416128929,12.0511116824,11.7784106124,9.75376544038,9.17484031475,9.20237613374,8.41639434193,9.16535180553,9.75747155814,10.2126638404,9.15898610045,9.37227821287,9.02656128612,11.0708568526,9.75845870573,9.99857454253,64.0,9.91241425965,4.94642580291,5.92968104076,5.97503936456,6.02541167214,6.92463346768,7.72165424115,12.6112633088,9.11361573034,5.13827987184,7.83701084479,7.20436539562,12.2447061519,9.08922351366,7.30316194455,7.78488366193,8.29498765243,7.99525655466,8.34205229567,8.96835900906,9.89763285457,15.0138558852,10.9673128635,8.21207218348,9.02617942553,9.69241205483,17.1247117776,14.966609868,12.1094328095,9.88436690121,10.5577418033,11.667853724,10.8581296332,12.2581002579,16.0728544998,16.5906429247,13.4230056878
07:00:00,7.17641110644,8.15868491732,9.02300980654,10.0165389106,8.17907593198,6.99333839431,9.05582560359,12.758611583,12.7839163734,10.490524003,8.50240665124,9.97365348471,9.53510499012,11.4236664516,10.2375759605,12.2969133777,13.2813462884,12.7279773505,13.6211737243,9.48543454596,11.0562220005,9.6439111725,8.22876311928,9.96859749049,10.2210452762,6.03034305898,5.97118158054,6.45866217054,10.1601955172,12.1516435963,12.8502547875,8.27261407006,9.62999026182,9.53937680371,9.80458630689,12.2575846401,10.5024685303,11.5151924149,10.5571817298,8.00148017347,8.08196885989,10.0526004016,13.7559109484,9.98827053097,14.7959168083,10.233094726,6.6940972795,7.02893855792,8.17857785566,12.1724807991,11.6998869288,9.50928166122,9.41721415082,10.0144991596,9.00584212223,9.50152120057,9.0317573929,10.7069886569,9.95712416866,10.7837342187,9.00604681903,10.7272986984,9.52157457383,10.0015405656,64.0,11.0938513857,4.96599367751,6.27206232155,5.99329106368,6.24917719656,9.1520561843,9.93521527992,11.9850356754,9.21989234267,6.06512080334,7.25560782823,7.24905468939,12.4826695707,9.13819664059,8.82295991228,7.75869752367,8.39913512585,8.22148649345,8.07028353027,9.22583311843,10.2273905514,15.5044909966,10.973339761,8.70112112185,8.90687960152,9.7177291171,17.1185014969,14.9535107904,12.9794741718,10.2324724155,12.2658130852,10.1640142654,10.8444223549,12.2443277319,14.9375061022,17.3401353669,13.1424909022
07:15:00,6.43676670001,7.72784475828,8.45696082762,9.92818128655,7.69249770069,7.06017945887,9.20815380876,13.8259188313,13.2929355343,10.4448067169,9.28933948566,9.94800009752,9.46242295687,11.7721449148,9.96559338464,12.0058889845,14.1638394978,12.2324233226,12.7923878097,9.236055267,11.4799689183,10.5134078998,8.47128837916,9.92639766032,9.94959239297,6.28033433974,6.02795224694,6.51843183768,9.77407440264,11.5537437499,13.2468636409,8.7640668977,9.02966646853,9.4965149698,10.277307773,12.0622306389,10.7204358371,12.307515071,10.7196570458,7.99978141691,8.5297897945,9.80101342828,14.5193516314,9.97849173438,15.0246139823,8.82520437808,6.2133463507,7.27287761822,8.85467184346,12.191626551,12.0645420203,9.75726700129,9.3099073574,10.4218699181,8.76250121866,9.50698698457,8.79110011139,10.7759857926,10.437290036,11.4506337989,8.9324097797,10.242026839,9.76777303048,10.0073575035,64.0,12.4504599925,5.0927099463,6.75508152083,6.06146403368,6.4221193767,9.53021196555,10.7054678364,12.1362814244,9.09893749433,6.71540199115,7.00018312207,6.88501319192,12.2312206857,9.0087227402,9.73643399091,8.16274406153,7.9133072944,8.45720332291,9.11441017352,9.54658920966,10.7618825392,15.9674143374,11.0447409315,8.76602569325,8.73522092646,10.3582220697,16.8628676609,15.0071919769,13.6306499151,10.8118441273,12.8584007604,9.32446735885,11.1144558103,11.71435469,13.656448705,18.9083419598,14.015964741
07:30:00,5.45622606351,7.52693466276,8.39281385499,9.66688379499,7.29356205439,7.23834729515,9.37750094222,13.7875971342,13.8675923316,10.7030530393,9.45082726184,9.97596391168,9.50914824557,11.1730398233,9.87238083938,12.3371208079,14.6185026918,11.9828727559,12.1213082613,9.03605512957,12.2813050584,11.0625296884,8.27463692126,9.93260642164,9.91271807801,6.76250379826,6.25647853343,6.4623538259,9.67247341126,10.9864987875,13.3381016739,9.00207659533,8.8622767448,9.59858134501,10.698370171,12.0811225022,10.8874644521,12.4389598854,10.5748270172,7.99088374002,9.30147577565,10.3719758187,15.1143433973,9.99477277242,14.9051846939,6.76314447939,6.11126991851,7.74560689916,9.83696496279,11.661363975,11.9157808044,9.9716272574,9.66881100336,9.99073782224,8.84189870291,9.8480031453,9.45704181155,10.5803502529,10.3672631641,11.0609520901,8.74043395785,10.0187301725,9.93698751655,10.0157951403,64.0,13.9697087893,5.50173564844,6.97525191399,6.24289741809,5.99506047516,7.90572150747,10.7186728684,11.8724025875,10.0837350393,6.68232208493,6.8854993803,7.20540073316,12.0356080517,8.24596150396,9.79134046681,7.90986090433,7.44925860153,8.26892094685,10.6497605735,9.5422430278,11.2510620057,15.3659321442,11.3002111258,8.58039928701,8.64508534623,10.7936085688,15.8713837205,15.2874121107,13.8851460772,11.3888034033,12.6883950523,9.48547702549,12.2631260233,11.6633251525,12.2089611043,23.4337061201,14.9124340243
07:45:00,5.06439657546,8.05654522864,8.14458843002,9.27327501849,7.46201895221,7.46980797698,9.10024324698,13.6803827732,14.1709181414,11.037107338,9.59306182806,10.2146998481,9.27503361333,11.1846031187,9.87856061022,12.2930456094,14.822395579,11.9095033853,12.4808389182,8.95257862446,12.6328651946,10.4603620971,8.24788050908,10.1900352591,10.1074815533,7.00192878493,6.71555217563,6.73697844982,10.2893082822,11.2061050549,12.627301407,9.05917373245,9.6549649265,9.38563329056,10.682742114,12.0393372445,11.0347448248,12.4488653805,9.97254315012,7.97014467536,9.41741087771,10.5221349965,15.662047576,10.1048895627,14.4184209392,6.83632677238,6.45641525034,7.9868277167,11.3906352369,11.7512550064,12.1679241578,10.1117342238,10.6900014428,9.44361244933,8.87455920931,10.1768497014,9.8689243685,10.7288054578,10.640242943,10.4013966313,8.50008358377,9.97704391902,9.93360541196,10.0119082526,63.9999999999,14.7381465001,6.1828119305,7.01892373479,6.47800229308,5.57458400115,7.06478157502,11.250155661,11.7282383473,11.3093938429,6.128275752,6.72595301272,7.53335075926,11.9786388519,8.37762714296,9.26256764451,7.58739755779,7.79212890186,8.30874662323,11.6228427314,9.73123189854,11.9211170608,14.7285219786,11.7689632319,8.78580390597,9.29991295382,11.487162131,15.931887805,15.9395459213,12.3038488653,12.1059833555,12.3918846629,10.3343725688,12.656417397,11.6576737599,11.2614246864,27.2379873451,14.66897609
08:00:00,5.17843348734,8.76339772828,8.24067638411,9.45421594959,8.0904942445,7.21983298789,9.15775508165,14.9658177615,14.1307596764,11.8127079018,9.42058050897,10.8694350045,9.34153532613,11.019007096,10.1599933039,12.2018585348,15.7155724839,11.9767474338,12.5012670973,8.98065998331,13.1446739845,9.75093130763,8.4508170636,11.036282814,10.7055058849,6.99867905366,6.95100784232,6.86414837228,10.713547932,10.9957613226,11.941592013,9.00373568794,10.2103213599,9.20056547768,10.4486518727,11.499706876,11.4185385004,11.9986503075,9.61300291652,7.95115427542,9.29502762376,10.2641867481,16.0549387032,10.3870724779,13.7347453264,8.30787404072,7.09478977656,8.04502758848,12.1069307633,12.3081336301,11.9037313485,10.1937051798,11.2319330229,9.52152773199,8.80720996641,10.449800381,9.95200603432,10.6693743218,11.4149024343,10.1367707814,8.80045497207,9.99914295374,9.78803906355,9.94916133679,63.9999999997,13.9029042704,6.12220864217,7.02194338896,6.22139489862,5.77715251356,7.98214591821,12.1378957625,12.4938227116,11.7435526918,5.85101348984,6.56494166855,6.78119525,12.0719041663,8.43951086038,8.84232289491,7.96298171898,8.82854084694,8.6909457163,11.680643501,9.54750709197,12.4961118026,14.3517971138,11.8797878861,8.86300297895,10.0729731498,11.3149391356,17.0894506025,16.5341439166,11.6773523322,12.3284102891,13.22816819,10.5875292414,14.1340622882,11.9371848477,11.0622986288,27.775532892,14.2978002274
08:15:00,5.58669889972,8.9811229768,8.92029268862,10.3700175439,8.14757587717,7.01407785745,10.1309243108,17.7446785659,15.3331273668,13.3213783437,9.45179697306,11.715996782,9.74004242326,11.5192178127,11.1354183068,11.805663511,16.5932965736,12.3300303539,11.8512022786,9.21017618888,13.1610256959,9.05753930783,8.44748348761,10.4288772095,11.663451032,6.74896678848,7.077575851,6.89174935651,11.4555447129,10.7264562518,12.8534998505,8.78579237577,10.0210065384,8.61500599646,10.8488434903,11.9463889177,12.2256173748,11.8520026569,10.251317488,8.00721324202,8.51693678145,10.5665568668,14.8613961623,10.7097727654,14.1877385851,8.76825552329,6.95957042687,7.9950385987,13.7958291659,11.6763238182,11.8701133291,10.0101889574,10.7730572058,10.0782927042,8.83745978413,10.2694295093,9.89369632405,10.3924688437,11.5694288134,10.1290846367,9.23047726984,10.0131143138,9.66348999422,9.75720238405,63.9999999996,13.1348202459,5.94057177215,7.08230981269,5.97168688855,6.070060569,9.50300513699,12.7195613994,13.5027129934,11.7350626872,6.39173429194,6.99395697155,6.79456466667,12.3697173708,8.71214957348,8.69767829991,8.62944596936,8.86085928464,8.91229034389,11.2244642739,8.96255608112,12.8578762079,15.0753268657,11.5235492611,8.72115212285,9.73770942697,10.1786716996,17.5253671912,16.7626647622,12.1885528002,13.2091437983,13.6727749053,10.292577158,15.2229582597,11.4262952316,11.3371927362,28.0247153273,15.473163546
08:30:00,5.72068793848,8.5165563327,9.94129954672,11.2725588577,8.42086330714,6.93853213948,12.2851286359,20.1861061298,15.1025122901,14.2292264729,9.36396387089,12.7913425731,9.81887329177,11.4901871343,10.9035883973,12.4428473952,17.3196860468,13.1612827305,11.1967197478,9.76968425727,13.736866628,9.00162547016,8.90028255674,10.2527809409,11.5269651841,6.25164606611,7.30797083457,7.13937042113,13.5985551132,10.7776558582,15.0523672522,8.34790233405,10.1590382354,8.79945198164,11.8387572644,13.8641271389,12.8056763425,12.7753098043,11.4165922031,8.30931372611,8.07569387088,11.8692976499,14.5399219302,10.1672967171,15.6414907922,9.19219237753,6.79435457781,7.82163765465,16.0534465421,11.5838822827,13.006518355,10.9664240288,10.3279594072,9.92466093599,9.54849753957,10.3387106492,9.97739268409,10.5497523786,11.1522043874,9.96680673066,9.77816968,9.94875912876,10.1470815998,9.46735671195,64.0000000004,12.2989240309,6.01413002479,7.25413516424,5.78470011947,6.36629769692,10.5082579949,14.0570292728,13.1008210823,12.1456695463,6.58961017209,7.47460720838,7.85669897054,12.7825835089,10.5970584787,9.31106015155,9.25365945247,8.53436736892,9.08766119119,11.2943194392,8.85285215506,13.8960166483,17.0350863228,10.8315357574,8.54340099666,8.92161897881,9.35021366897,17.2420314446,17.2482792901,12.6656419272,15.2444228994,13.7448977006,10.3220879507,16.1818782976,11.1750720319,11.6871195559,29.4128414341,17.2737227002
08:45:00,5.8384979301,7.21428720093,11.2209737843,12.6736838598,9.40280423694,7.05102967288,15.6238971365,22.9698842652,14.0971507899,14.5596034114,9.93073990689,12.7004362062,9.44626147219,10.6984313011,11.2924197404,13.8404700224,18.5722659555,16.0023744406,11.5014902336,10.3673888268,15.6050916879,10.0895505514,9.57665007138,11.5352020842,11.5147944667,6.0076373863,7.69975572391,8.14310187178,15.3147461951,12.075913654,16.5205368502,10.0610393493,9.65442114729,9.69438857501,13.6761465118,15.8448874731,14.0571755491,13.8309538112,14.1352974246,9.01402139458,7.9299808493,13.4793476609,15.8262256597,10.4344050938,17.5846148545,11.0178947143,7.42359875222,7.51952446619,20.8842406574,12.4062180993,16.5121680232,12.4472709514,11.3651106316,9.71480058895,9.84859254158,10.8217583454,10.6990999127,11.0079505943,11.0727538366,10.9802363235,9.97059686582,9.70964990084,10.4989572877,9.59654486996,64.0000000036,12.9906047383,6.83796856015,7.4269119765,5.77288267088,6.43873228883,10.8727929815,19.7730532854,12.6286328814,12.3669936124,6.5003445602,7.48058672262,8.66170878957,14.4815728824,14.0714536257,11.7695381421,10.2435993731,8.77262968445,9.50735825565,12.4812948383,10.1697564406,16.7843870795,18.2163968419,10.8879372529,9.07059501367,8.77678014471,9.74407549043,17.1911028534,19.0888288081,13.559705771,18.5121990115,14.1181796572,10.9634789354,18.8236788688,13.3809919056,13.0387061627,31.3177873404,19.8318072527
09:00:00,6.75685032404,7.88579232101,10.7939931338,14.5401188035,12.7441197549,7.53234001757,21.5805016204,22.4035845244,14.7702546298,13.8774073352,11.1978560437,12.4655563636,8.85269392153,11.9300922847,12.3226517065,16.8398964374,22.389189258,20.0626099001,13.3357449687,11.1721260214,20.0248625271,12.8244243682,12.4434567185,14.7977868341,13.7917546368,6.01456911659,7.69455178073,10.1602931718,17.5791747948,13.9924714349,19.1356167716,15.6003725401,9.21908349997,9.64139695512,14.9412500209,20.7523815766,17.2672224547,16.5306971307,22.6007191087,9.65927446213,7.88709193217,16.9650501635,18.3761731427,12.8512652221,20.2227420942,11.2991878894,8.08305031731,7.44012343387,24.1857761933,15.350975778,21.5732472208,13.9047422251,14.6970630692,10.2535579527,9.54901901985,11.2052658438,12.6000374401,12.5342844015,11.9361930663,12.5660592139,9.77848413054,9.30184087458,11.6850972656,11.7269739836,64.0000000101,14.207403419,8.8789124887,6.98186245387,6.47928238337,7.32763734233,13.4549825965,27.3763287937,13.2249921288,15.4993161356,7.00042054198,7.5363754411,10.1903068106,17.0725887754,15.9184341064,16.5380616607,11.4999240311,9.4304760781,10.2863591523,12.7878374343,12.1589257546,18.9048081606,20.5344071343,13.113872111,9.95677759385,8.61203330651,13.5743402728,19.8401780193,22.8855960441,17.9905465347,22.6015777556,15.9764684554,11.8599915266,22.5974598447,17.8913874458,16.9443405195,36.2917463063,24.7323013652
09:15:00,7.61547070962,12.9139740306,12.2530877592,17.4912222224,19.2899224754,8.46117338774,28.3404196224,22.8550099292,19.3807339938,16.6283295977,15.3495634303,11.7081093154,9.37613465238,16.5744494549,17.4301841853,24.6015516401,31.6640770014,26.5465446437,16.2667347189,11.6179543111,25.0451574211,19.530255634,18.3142730421,21.4917772165,21.4930725181,6.25479485191,7.33446881895,13.1620900411,20.7374053577,19.7467436887,27.7341414435,24.5189923261,10.2561112246,9.59328115049,18.8620135562,27.760546159,23.6085734213,22.7243945936,32.7355483628,9.75496835429,7.89435963636,24.9360530998,24.193178852,19.8892342413,26.5922741248,13.0541078299,9.16125913587,6.8958100259,30.0871365162,24.8133636305,28.3516047886,17.8963084471,18.4061476469,10.9161781389,8.76386612092,13.3324097,16.8232248708,15.8800735222,16.2021303085,16.1604885539,9.23136304581,9.31208649289,15.6735671661,18.2477614386,64.0000000136,14.9656516475,10.9278498006,6.44638484777,6.90118175572,11.1958212774,19.3676133767,36.8294445839,18.7714768,21.9089311416,7.96563208275,7.20527984537,14.0997881414,23.1983887072,20.7781917614,18.5425038123,14.4360929801,8.81747702781,10.5249249849,15.2538045135,17.7265040323,24.0703263915,21.4714722278,19.1545841895,10.7148021299,8.18265855659,21.5669401439,27.2746478376,31.0622061094,27.9585548796,28.0772667292,18.2672524609,12.7279092682,27.3049633594,27.7916074346,24.878998264,44.2513369108,31.8964746947
09:30:00,8.04038402806,22.9101500254,19.6030015567,23.0661150433,28.397085503,8.8515599624,38.9281254364,27.8847944525,28.6469898061,27.5032468821,24.1744011281,11.1183886041,10.6491598343,26.1605976116,27.4056136535,38.6060677554,42.5121717171,32.5335144059,21.1902203129,10.7946801233,32.6652295912,32.8822043261,29.1157561496,33.4728415892,36.1704656609,6.68152995399,7.27251309103,16.7990518556,25.9766527402,26.5732020335,42.88141175,31.169244047,11.7304232525,9.22005127938,26.7838828403,36.5385547769,35.7195399017,31.2005067691,47.2610380767,9.49244957234,8.12493261438,40.0719040847,34.5283109747,30.3171388463,35.2841283713,16.7023146844,8.88067443605,6.31871284272,40.345852606,40.4866384121,37.862595126,25.1699557643,25.1805691535,10.5707903541,8.50918495165,18.6358347816,21.3116069294,18.7280688752,22.457787663,20.0676190673,8.80179692216,9.72345944953,23.0622380901,30.0940766533,63.9999999874,19.8668741602,14.0178435087,6.38415250186,7.07729852002,19.5508178294,26.8135066657,49.3423318548,28.699680613,30.9635003851,9.27093206384,6.97785553482,19.6668342684,29.356552646,25.4540502189,23.6326143803,21.4657177118,8.38225085534,10.7505985526,23.343378494,23.4607837002,34.2843719509,25.4411328814,26.427573124,10.9439668266,8.01986937436,35.2991266862,33.8995471644,40.2710920272,35.4830283975,36.3008180186,17.9850831285,13.563532651,35.5530118575,38.3842257627,32.4289739948,56.5296851204,41.7809941673
09:45:00,8.4266738013,32.6576899397,30.3423029039,27.8214737484,36.8426369917,8.79518314512,45.6872541113,35.3435522089,36.5259550037,39.9363766758,32.7617813378,9.97046914157,11.5520763321,35.0687326455,38.1791682172,47.1309736282,51.7205619337,36.0097656338,28.468493141,10.5562012629,38.7940174168,52.4949191538,46.146017064,45.6130938766,52.3895065791,6.73840008076,7.49275321152,22.3975579095,33.0093210827,36.2128307099,53.6744456877,38.86548839,12.0947160657,9.0051551591,36.3282764834,45.2344886688,47.0212865058,41.2987050393,63.4273444148,9.553127909,8.96324024605,53.1800445338,42.2462799944,37.1253372496,39.7046740092,20.5552529416,9.14122717425,6.349340433,46.5451824103,56.4373296175,50.4183630547,36.6810534297,32.8962370839,10.2531675265,8.27329437706,25.8833665562,26.3616785986,21.0008743352,28.8861266121,24.2705683705,8.49962297851,9.89485945248,29.1018468068,39.7055661688,63.9999998779,25.5812923983,19.3262570245,6.46606906426,7.24398689688,27.5085181788,33.2602570537,62.4660326369,36.8982436856,38.2128233372,10.8600092011,6.93409841806,27.9685503954,37.6478831461,35.1929495838,28.5731355238,26.1302237574,7.93846182684,10.4410726847,36.0131327664,32.4970491199,41.4097222346,29.9139853983,36.0411701712,10.8139656294,8.28956212603,43.2142711945,39.5706151811,51.0402746018,46.6661549209,42.479250252,17.5900069912,14.9073436291,45.3385010646,47.388601451,43.4225657825,61.9572430803,49.0495773198
10:00:00,9.08865549522,41.1196633572,42.7635570654,32.1817447329,42.6094340894,8.68060641465,49.1051898238,45.3123084076,43.6805829109,50.3554427023,41.8523140042,9.30164863166,11.666871342,43.3578552237,50.8698486756,49.2416625921,59.0519927457,39.8945159626,36.0834039682,11.1670552886,44.0100000945,66.218640174,60.4716545089,51.8389648251,60.3748364645,6.50597098212,7.43423161293,29.6858837854,41.5945090458,45.2602098914,57.4474377538,42.5835979483,12.340839641,8.99193804815,45.5488474153,50.9193195197,55.4958980401,51.957647248,75.9625473883,9.6335140123,10.5438466824,60.9241076928,49.1551744449,42.6699099712,44.6920234716,25.519737721,10.0814994348,6.99077565995,49.5766786646,65.758689917,58.6058631448,45.0450591673,39.0679226257,9.85750187666,8.52614335885,32.5711609285,29.6467210024,25.1649560262,32.7545333125,26.6172159448,8.73108458944,9.73826731067,34.9186539051,45.3337232196,63.9999996565,31.0453794829,23.994766742,7.59473317937,7.48300406688,33.0831778471,38.5484457996,71.0669252517,43.8564449094,45.2796986992,14.1346880828,7.19829333409,36.7483731891,47.4600774694,48.3337295235,34.863580641,31.0396012249,8.53527249777,9.57284310518,43.5328837335,39.0490172529,48.7404107368,35.4783603192,40.24856034,10.6065588301,9.11789442906,47.1574915908,44.3444967398,61.3555905832,54.6440654872,47.2179460202,17.571904325,16.172758855,53.5523029917,55.7556419957,56.8301237082,68.3050926945,52.8039533546
10:15:00,9.48729697304,45.9437599825,50.4747234977,38.9284268954,45.9950599605,9.30602695949,50.2948085273,53.1849838404,45.7219168449,57.3154153336,48.6630463965,10.2082864949,11.4713793958,48.9495007224,60.2383193934,49.741580725,62.82808538,43.0874517598,43.0798172774,11.7793772329,49.3036219876,72.9137691362,68.8672330803,56.8506974279,61.572083351,6.5880082465,7.55048430473,37.597189247,53.4726731243,55.884258332,56.1856910697,43.5684685353,11.2712118241,9.21343488688,51.8426955988,58.1950416768,59.0828862994,63.5185811603,84.7400381783,10.3238627123,11.0748355823,65.6076377404,54.5705228713,51.0562630317,47.6749411729,29.3920782595,11.5576189535,7.54742052077,55.2415292841,72.6693127461,64.1753238568,53.515323842,41.417922799,10.7716505718,9.19109210463,38.4286406905,30.1166580676,31.685031402,35.5581406964,26.4143045308,8.90317917251,9.37594492803,43.4352263601,47.8189087028,63.999999539,36.0330237385,28.5125350062,7.74060536305,7.38813341686,39.2720159986,45.9981400551,73.0793227465,52.2670758052,49.361278498,14.7767748947,8.02652828577,43.8126385255,54.8850665856,58.8293305375,42.8571920827,34.5433927071,9.34492176992,9.24026016868,52.1461822654,46.3363068205,52.7510264823,38.8946173883,41.2205882969,10.9755754622,10.0518996489,54.5453634084,51.1366063309,71.1223275177,61.2205812921,52.1637874103,17.2406414233,18.9585077227,62.4082875202,67.6590519906,66.7768662879,73.4298297068,54.0466968345
10:30:00,10.9062551076,50.5383428054,53.5566475268,44.4795296687,46.0782295908,10.1084291389,52.1586065282,57.7308824838,46.8998343013,62.660379537,52.7063977754,11.1834448887,10.1096923415,53.0494940703,65.3055473841,48.9508489199,65.2664755723,50.6992274678,44.3357896148,11.2111915516,53.6453272699,71.0034274419,77.164008356,65.6706050276,58.6772023436,6.57633549807,7.42658407055,43.6928664872,57.1952517214,57.7334750027,50.9796332493,45.8978000674,11.0065711784,9.71880451929,57.5092261665,65.8250104481,60.7299669982,70.4074600458,89.7081131897,10.9474008144,11.67659724,71.6859634692,57.4975049289,57.0499825092,50.6981445844,30.9291083516,11.2627145965,7.34212569278,60.1875648547,77.8704117062,71.6652473614,65.2550799843,43.5326893725,10.6684670259,9.13921410428,44.0429067771,31.4279717162,34.6959058636,39.283015071,27.7341449795,8.96073496644,9.45361958719,53.7368233369,49.3340370763,64.0000004283,44.2273545238,33.3791906782,7.68467977245,7.58715019989,44.9058961031,51.8325153722,74.3036876656,63.1100380746,55.0953173618,12.1986996572,9.27830460781,47.4709359022,61.0946265256,67.9652340785,49.1800509176,36.9119383473,10.4691035495,9.39198801946,57.0308117651,61.4805020384,54.4353370222,39.9663957112,42.6309780283,11.3617268985,10.4028222928,68.4794789992,58.1733649646,77.5345917852,64.9113925564,58.5277644689,18.7622759296,24.5178019164,73.0157185484,73.761252038,75.7277646216,74.5778644717,52.172475613
